metric,train_5,train_6,delta_train6_minus_train5,interpretation
best_eval_loss,2.299,2.258,-0.041,train_6 fits validation references better
ppl,10.760,11.096,0.336,train_5 has slightly lower reference PPL
single_identity,2.950,2.820,-0.130,train_5 is stronger on single-turn identity
single_style,2.830,2.800,-0.030,nearly unchanged
single_weighted,2.989,2.921,-0.068,train_6 lowers single-turn quality
single_win_rate_vs_base_card,0.550,0.500,-0.050,train_6 no longer beats Base + card by ranking
distinct_1,0.708,0.737,0.029,train_6 is more lexically diverse
distinct_2,0.812,0.817,0.005,nearly unchanged
repetition,0.178,0.173,-0.005,train_6 slightly reduces repetition
multi_identity,2.600,2.550,-0.050,identity does not improve
multi_memory,3.600,3.700,0.100,memory improves slightly
multi_coherence,2.850,2.750,-0.100,coherence worsens slightly
multi_style,2.200,2.200,0.000,no improvement
multi_immersion,2.200,2.250,0.050,minor improvement
multi_weighted,2.780,2.780,0.000,no overall multi-turn gain
multi_win_rate_vs_base_card,0.250,0.200,-0.050,train_6 ranks worse against Base + card
